Name,Nickname,Wins,Losses,Draws,Height_cm,Weight_lbs,Reach_cm,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Pedro Otavio,Te Pedro,19,8,0,190.5,245.0,,Orthodox,"Dec 17, 1967",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/4512e46543b960ad
Shana Olsen,Rock Solid,5,2,0,170.2,145.0,,,"Dec 17, 1980",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/dfbb95ca0c143988
Andy Ogle,The Little Axe,9,6,0,172.7,145.0,175.3,Orthodox,"Feb 16, 1989",2.24,0.44,2.23,0.5,1.44,0.26,0.58,0.0,http://www.ufcstats.com/fighter-details/b6c4451cb13c9303
Zak Ottow,The Barbarian,17,7,0,180.3,170.0,182.9,Orthodox,"Dec 22, 1986",2.63,0.36,2.73,0.58,0.97,0.29,0.57,0.4,http://www.ufcstats.com/fighter-details/47cd337b86b1af92
Kaan Ofli,Genghis,14,4,1,170.2,145.0,167.6,Orthodox,"Jun 19, 1993",2.33,0.45,3.34,0.54,0.38,0.07,0.0,0.4,http://www.ufcstats.com/fighter-details/7facc9c45d792985
Jake O'Brien,Irish,15,4,0,190.5,205.0,193.0,Orthodox,"Sep 25, 1984",1.31,0.31,1.92,0.69,6.39,0.54,0.25,0.2,http://www.ufcstats.com/fighter-details/20bcc9966affb19c
David Onama,,14,3,0,180.3,145.0,188.0,Orthodox,"Jun 07, 1994",5.07,0.5,4.89,0.51,1.05,0.3,0.52,0.5,http://www.ufcstats.com/fighter-details/ffe9703408fb5964
Alex Oliveira,Cowboy,22,12,1,180.3,170.0,193.0,Orthodox,"Feb 21, 1988",2.99,0.51,2.55,0.46,2.35,0.38,0.63,0.6,http://www.ufcstats.com/fighter-details/57b10fca4f9c9a7a
Jeremiah O'Neal,,13,25,0,172.7,260.0,,,"Oct 25, 1977",1.15,0.4,7.5,0.23,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/338fda4ec7034c5d
Ho Taek Oh,Spider,7,2,1,,155.0,,,"Jul 20, 1993",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/5c020ee6ab450870
Nick Osipczak,,6,3,0,188.0,170.0,193.0,Orthodox,"Dec 30, 1984",2.83,0.5,3.77,0.5,1.2,0.45,0.71,1.0,http://www.ufcstats.com/fighter-details/5b407acfe0ef9b76
Kazuki Okubo,,7,9,0,180.3,175.0,,Orthodox,"Jun 30, 1979",1.53,0.38,1.97,0.46,0.51,0.25,0.36,2.0,http://www.ufcstats.com/fighter-details/33454ad90754cb49
Yushin Okami,Thunder,34,12,0,188.0,170.0,190.5,Southpaw,"Jul 21, 1981",2.06,0.38,2.25,0.6,1.98,0.39,0.84,0.5,http://www.ufcstats.com/fighter-details/acff437707625fc7
Michihiro Omigawa,,17,14,1,167.6,145.0,172.7,Orthodox,"Dec 19, 1975",2.01,0.39,3.06,0.64,1.19,0.36,0.49,1.5,http://www.ufcstats.com/fighter-details/9f842be1a5337be6
Casey O'Neill,King,10,2,0,167.6,125.0,175.3,Orthodox,"Oct 07, 1997",7.89,0.52,5.65,0.57,1.45,0.34,0.7,0.7,http://www.ufcstats.com/fighter-details/04835018f90b118c
Valentijn Overeem,,30,32,0,190.5,230.0,,Orthodox,"Aug 17, 1976",0.93,0.34,1.49,0.58,1.86,0.5,0.0,4.7,http://www.ufcstats.com/fighter-details/20e403a1acfef130
TJ O'Brien,The Spider,20,8,0,188.0,155.0,,Orthodox,"Jan 01, 1987",3.77,0.46,4.78,0.57,0.94,1.0,0.0,0.0,http://www.ufcstats.com/fighter-details/d25b93992f285953
Richard Odoms,The Black Eagle,13,3,0,195.6,265.0,,Orthodox,"May 08, 1975",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/f43907e75f8d9baa
Sean O'Connell,The Real OC,17,9,0,185.4,205.0,188.0,Orthodox,"Sep 02, 1983",5.46,0.48,6.77,0.45,0.0,0.0,0.3,0.5,http://www.ufcstats.com/fighter-details/cb52f9490c2dc069
Tito Ortiz,The People's Champ,19,12,1,190.5,205.0,188.0,Orthodox,"Jan 23, 1975",2.59,0.46,2.88,0.6,2.47,0.35,0.54,0.6,http://www.ufcstats.com/fighter-details/2f732dd9210d301f
Jorge Ortiz,The Naked Man,18,9,1,182.9,185.0,,Orthodox,,3.53,0.58,2.8,0.73,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/9c5828c6fd9dc948
Ren Ozaki,,6,1,2,170.2,135.0,172.7,Orthodox,"Dec 15, 2001",1.2,0.35,1.07,0.55,0.0,0.0,0.36,0.0,http://www.ufcstats.com/fighter-details/8997ee20b6a43d76
Kurt Osiander,,4,1,0,,185.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/f84dfc5a8d178403
Bolaji Oki,The Zulu Warrior,10,3,0,177.8,155.0,185.4,Orthodox,"Nov 15, 1995",6.59,0.44,5.15,0.61,1.01,0.6,0.66,0.0,http://www.ufcstats.com/fighter-details/4bdedbdeedff7d1d
Saimon Oliveira,,18,7,0,162.6,135.0,182.9,Orthodox,"Apr 21, 1991",2.62,0.42,3.87,0.45,1.18,0.28,0.36,1.2,http://www.ufcstats.com/fighter-details/72ea1984c52019b5
Aleksei Oleinik,The Boa Constrictor,60,17,1,188.0,240.0,203.2,Orthodox,"Jun 20, 1977",3.29,0.48,3.8,0.44,1.82,0.46,0.37,1.9,http://www.ufcstats.com/fighter-details/98c23cb6da5b3352
Michael Oliveira,PQD,9,0,0,185.4,170.0,198.1,Orthodox,"Jan 21, 1998",8.4,0.51,3.36,0.66,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/037cfd34a27d59e9
Alptekin Ozkilic,The Turkish Delight,9,5,0,165.1,125.0,165.1,Orthodox,"Mar 27, 1986",3.81,0.32,5.72,0.59,4.21,0.58,0.75,0.0,http://www.ufcstats.com/fighter-details/e18a19001a3f7c7d
Brian Ortega,T-City,16,5,0,172.7,155.0,175.3,Switch,"Feb 21, 1991",3.84,0.37,6.38,0.49,0.93,0.25,0.54,0.9,http://www.ufcstats.com/fighter-details/def8166ff24bd237
Dennis Olson,,14,11,0,182.9,170.0,,,,1.02,0.42,5.27,0.38,2.77,0.4,0.0,0.0,http://www.ufcstats.com/fighter-details/8e0709784259402d
Naoya Ogawa,,7,2,0,193.0,255.0,,Orthodox,"Mar 31, 1968",2.41,0.42,1.66,0.47,1.25,1.0,0.66,1.2,http://www.ufcstats.com/fighter-details/4b2390cfaceb91d8
Charlie Ontiveros,American Bad Boy,11,9,0,188.0,155.0,188.0,Switch,"Jul 04, 1991",1.89,0.41,5.86,0.31,0.0,0.0,0.3,0.0,http://www.ufcstats.com/fighter-details/318572f6f74b760d
Masakatsu Okuda,,8,5,0,,,,,"Jan 16, 1976",0.0,0.0,4.27,0.34,0.0,0.0,0.0,4.3,http://www.ufcstats.com/fighter-details/02a65a55f25fb4f3
Dan O'Connor,Johnny Irish,6,6,0,162.6,115.0,,,"Nov 17, 1982",4.0,0.56,5.1,0.54,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/69ea0119f6f0dfe0
Jorge Oliveira,,5,3,1,185.4,205.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/bec2746f033802c3
Michiyoshi Ohara,,0,2,0,177.8,205.0,,Orthodox,"Nov 15, 1967",0.28,0.29,3.13,0.48,0.0,0.0,0.33,0.0,http://www.ufcstats.com/fighter-details/6a8a06b542e1516d
Chibwikem Onyenegecha,,5,0,0,190.5,185.0,,Orthodox,"Apr 18, 1994",5.6,0.55,3.4,0.52,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/887e09328cd63df1
Casey Olson,The Underdog,14,5,0,170.2,145.0,,Orthodox,,2.48,0.6,0.0,1.0,3.54,0.57,1.0,1.8,http://www.ufcstats.com/fighter-details/7613773461b276f4
Ravena Oliveira,Kenoudy,7,3,1,165.1,115.0,165.1,Orthodox,"Feb 20, 1997",1.4,0.29,2.8,0.5,1.08,0.66,0.5,0.0,http://www.ufcstats.com/fighter-details/4948e412fa6ab67d
Cezary Oleksiejczuk,,17,3,0,190.5,185.0,190.5,Southpaw,"Jan 06, 2000",1.99,0.86,0.77,0.47,5.77,0.85,1.0,0.0,http://www.ufcstats.com/fighter-details/084532da3d25f3b8
Felipe Olivieri,,14,5,0,175.3,155.0,,Orthodox,"Apr 12, 1985",6.68,0.58,4.6,0.57,0.0,0.0,0.71,0.0,http://www.ufcstats.com/fighter-details/948880beac71f028
Sidney Outlaw,,8,4,0,172.7,170.0,188.0,Orthodox,"Apr 11, 1992",0.13,0.33,0.8,0.71,3.0,0.75,0.0,3.0,http://www.ufcstats.com/fighter-details/871ce0b4a01922b6
Nobuhiro Obiya,,12,5,1,172.7,145.0,,Orthodox,"Jan 15, 1981",0.63,0.28,2.53,0.55,0.5,0.5,0.41,0.5,http://www.ufcstats.com/fighter-details/6e3282d57d2467a0
Chuck O'Neil,Cold Steel,17,9,0,188.0,170.0,,,"Sep 22, 1985",3.13,0.37,4.4,0.72,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/56bc9ccb609df534
Maria Oliveira,Spider-Girl,13,7,0,167.6,115.0,175.3,Orthodox,"Dec 12, 1996",5.03,0.38,5.76,0.44,0.95,0.44,0.47,0.0,http://www.ufcstats.com/fighter-details/37d752ec41ed84bb
Christian Ocon,,2,1,0,172.7,135.0,175.3,Orthodox,"Feb 05, 1996",1.73,0.53,5.27,0.34,0.0,0.0,0.63,0.0,http://www.ufcstats.com/fighter-details/2d6d6ffe5a446ea2
Myktybek Orolbai,,15,2,1,177.8,170.0,188.0,Orthodox,"Feb 10, 1998",3.24,0.48,3.31,0.5,5.48,0.45,0.4,0.6,http://www.ufcstats.com/fighter-details/bf2c8e01b07d3eb1
Daniel Omielanczuk,,19,8,1,182.9,247.0,188.0,Southpaw,"Aug 31, 1982",3.09,0.57,3.29,0.47,0.56,0.26,0.68,0.1,http://www.ufcstats.com/fighter-details/470fedbc8563ac47
Ode Osbourne,The Jamaican Sensation,13,9,0,170.2,125.0,185.4,Southpaw,"Jan 09, 1992",3.07,0.41,3.43,0.47,1.09,0.3,0.66,0.5,http://www.ufcstats.com/fighter-details/6d68c1afe954f121
Takayuki Okada,Giant Ochiai,3,3,2,185.4,290.0,,Orthodox,"May 08, 1973",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/32541eb5d12668b4
Rafaello Oliveira,Tractor,17,8,0,172.7,155.0,180.3,Orthodox,"Jan 26, 1982",2.19,0.33,3.38,0.59,2.49,0.36,0.11,1.6,http://www.ufcstats.com/fighter-details/15b1b21cd743d652
Trey Ogden,Shamurai,18,7,0,180.3,155.0,182.9,Orthodox,"Nov 14, 1989",3.2,0.5,3.49,0.55,1.89,0.32,1.0,0.7,http://www.ufcstats.com/fighter-details/cfc3e7bb44685289
Jose Ochoa,Kalzifer,8,2,0,170.2,125.0,170.2,Southpaw,"Dec 31, 2000",3.01,0.37,2.33,0.6,0.43,0.5,0.59,1.3,http://www.ufcstats.com/fighter-details/88be62d6c1e6dadb
Quemuel Ottoni,,12,3,0,182.9,155.0,182.9,Orthodox,"Oct 22, 1992",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/7ce21433c2a53168
Rachael Ostovich,,4,6,0,160.0,125.0,157.5,Orthodox,"Feb 25, 1991",2.54,0.43,3.97,0.57,2.03,0.83,0.66,0.8,http://www.ufcstats.com/fighter-details/01784fbc27c68b14
JJ Okanovich,The Bosnian Bomber,7,1,0,180.3,155.0,193.0,Orthodox,"Nov 04, 1990",6.93,0.55,5.27,0.5,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/aa40fe6038db56cb
Nissen Osterneck,,12,4,0,188.0,185.0,,Orthodox,"May 01, 1981",3.15,0.58,2.9,0.41,0.63,0.12,0.42,1.3,http://www.ufcstats.com/fighter-details/d632d156c0549e07
Shungo Oyama,,14,19,0,180.3,185.0,,Southpaw,"Apr 11, 1974",0.64,0.25,1.96,0.57,1.07,0.57,0.62,0.5,http://www.ufcstats.com/fighter-details/47b7e4e60813b7b2
Wendell Oliveira Marques,The Machine,29,10,0,177.8,170.0,,Orthodox,"Jun 01, 1983",3.77,0.47,4.4,0.47,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/32c03df3c9760069
Bruno Oliveira,,8,2,0,193.0,205.0,203.2,Orthodox,"May 02, 1984",3.44,0.33,4.92,0.54,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/1e85912c9bab7e2b
Artur Oumakhanov,,9,6,0,170.2,154.0,,Orthodox,"Feb 27, 1979",1.2,0.33,1.67,0.82,3.0,0.75,0.33,0.0,http://www.ufcstats.com/fighter-details/1ef0eae31904e534
Ednaldo Oliveira,Lula,17,3,1,195.6,205.0,,Orthodox,"Feb 19, 1984",1.03,0.22,1.8,0.52,0.0,0.0,0.42,0.0,http://www.ufcstats.com/fighter-details/acd9513399a8b09b
Alistair Overeem,The Demolition Man,47,19,0,193.0,265.0,203.2,Orthodox,"May 17, 1980",3.67,0.64,2.44,0.57,1.42,0.55,0.73,0.8,http://www.ufcstats.com/fighter-details/b4ad3a06ee4d660c
Cameron Olson,Cap'n Crunch,7,3,0,185.4,205.0,190.5,Orthodox,"Nov 22, 1989",3.13,0.47,2.2,0.57,3.0,0.42,1.0,1.0,http://www.ufcstats.com/fighter-details/5a9104718439ef44
Takahiro Oba,,5,7,1,172.7,200.0,,Southpaw,"Aug 14, 1976",0.23,0.25,1.82,0.69,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/7139cd2ae4bf6a29
Dustin Ortiz,,19,8,0,165.1,125.0,165.1,Orthodox,"Dec 25, 1988",2.94,0.44,2.17,0.56,3.01,0.36,0.52,0.1,http://www.ufcstats.com/fighter-details/f53c1f4ceeed8c08
Gadzhi Omargadzhiev,,13,2,0,185.4,170.0,180.3,Switch,"Feb 24, 1993",1.8,0.39,2.2,0.39,1.35,0.3,0.6,0.5,http://www.ufcstats.com/fighter-details/684d3aee255a3d09
Takafumi Otsuka,,22,13,2,167.6,139.0,,Orthodox,"Aug 22, 1986",1.29,0.27,2.12,0.67,1.64,0.27,0.65,0.0,http://www.ufcstats.com/fighter-details/6b8f28da9a483049
Volkan Oezdemir,No Time,21,8,0,188.0,205.0,190.5,Orthodox,"Sep 19, 1989",4.99,0.48,4.19,0.55,0.5,0.29,0.8,0.1,http://www.ufcstats.com/fighter-details/0845c81e37d3bcb3
Sean O'Malley,Suga,19,3,0,180.3,135.0,182.9,Switch,"Oct 24, 1994",6.05,0.6,3.4,0.6,0.24,0.42,0.6,0.2,http://www.ufcstats.com/fighter-details/b50a426a33da0012
Vinicius Oliveira,LokDog,23,4,0,175.3,135.0,177.8,Switch,"Nov 30, 1995",4.73,0.43,2.7,0.57,1.45,0.46,0.7,0.2,http://www.ufcstats.com/fighter-details/18d01f7f8338ae72
Dustin Poirier,The Diamond,30,10,0,175.3,155.0,182.9,Southpaw,"Jan 19, 1989",5.24,0.5,4.57,0.52,1.15,0.35,0.64,1.2,http://www.ufcstats.com/fighter-details/029eaff01e6bb8f0
Pawel Pawlak,,12,3,0,182.9,170.0,185.4,Orthodox,"Feb 08, 1989",1.67,0.33,2.22,0.53,1.0,0.37,0.7,0.0,http://www.ufcstats.com/fighter-details/9310418684bc896f
Trevor Prangley,,34,11,2,185.4,185.0,190.5,Orthodox,"Aug 24, 1972",2.59,0.6,2.02,0.48,3.38,0.55,0.74,1.0,http://www.ufcstats.com/fighter-details/f5ff7bcdcfeba3ad
Tyson Pedro,,10,5,0,190.5,205.0,200.7,Orthodox,"Sep 17, 1991",2.9,0.59,2.39,0.56,0.76,0.3,0.5,0.8,http://www.ufcstats.com/fighter-details/49e96ff8ab781589
Alexander Poppeck,,9,3,0,188.0,205.0,,Orthodox,"Apr 06, 1992",4.01,0.57,9.81,0.33,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/56bf3ed155bd0fcd
Willie Parks,Slick,5,2,0,177.8,185.0,,,"Nov 04, 1983",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/86ad0ae839331bd7
Brent Primus,,8,0,0,177.8,155.0,,,"Apr 12, 1985",1.73,0.39,2.27,0.59,5.0,0.38,0.0,2.0,http://www.ufcstats.com/fighter-details/46caf130099206cd
Daniel Pineda,The Pit,28,17,0,170.2,145.0,175.3,Orthodox,"Aug 06, 1985",2.85,0.49,3.26,0.45,1.42,0.24,0.54,1.5,http://www.ufcstats.com/fighter-details/361d49960a196976
Elizabeth Phillips,,6,6,0,167.6,135.0,165.1,Orthodox,"Aug 20, 1986",2.6,0.33,3.07,0.58,0.75,0.25,0.53,0.2,http://www.ufcstats.com/fighter-details/dcbf01d605681ad1
Francisco Prado,,12,4,0,177.8,170.0,175.3,Orthodox,"Jun 16, 2002",4.09,0.43,4.95,0.54,0.94,0.19,0.5,0.5,http://www.ufcstats.com/fighter-details/3920d0cc288f9b0d
Angel Pacheco,,7,3,0,172.7,135.0,177.8,Orthodox,"Jan 13, 1992",9.5,0.39,11.47,0.41,0.0,0.0,0.28,0.0,http://www.ufcstats.com/fighter-details/07797f10b9569cfc
Jerron Peoples,,4,3,0,182.9,170.0,,,"May 04, 1982",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/a2ac473d74eb157c
Santiago Ponzinibbio,Argentine Dagger,31,9,0,182.9,170.0,185.4,Orthodox,"Sep 26, 1986",4.78,0.41,4.68,0.61,0.6,0.27,0.71,0.0,http://www.ufcstats.com/fighter-details/6d1bffff14897645
Ruel Panales,,6,2,0,165.1,125.0,170.2,Southpaw,"Dec 07, 1996",2.53,0.51,5.6,0.46,1.0,0.2,0.5,0.0,http://www.ufcstats.com/fighter-details/2742f028399bf8c7
Devin Powell,,9,4,0,182.9,155.0,185.4,Orthodox,"Mar 01, 1988",2.88,0.41,3.67,0.51,0.0,0.0,0.0,0.6,http://www.ufcstats.com/fighter-details/065eb44700e641a4
Luis Pajuelo,Corazon de Leon,8,2,0,177.8,145.0,175.3,Orthodox,"Dec 18, 1994",6.03,0.57,8.2,0.52,0.0,0.0,0.66,0.0,http://www.ufcstats.com/fighter-details/e530df53922f413e
Cristian Perez,El Puas,13,2,0,175.3,155.0,182.9,Orthodox,"Aug 17, 1999",1.31,0.44,3.23,0.41,3.46,0.37,1.0,1.1,http://www.ufcstats.com/fighter-details/d84033157714ee94
Sergio Pettis,,18,5,0,167.6,125.0,175.3,Orthodox,"Aug 18, 1993",3.88,0.37,2.91,0.65,0.85,0.4,0.67,0.4,http://www.ufcstats.com/fighter-details/de75d1c45a39e221
Marcin Prachnio,,17,9,0,190.5,205.0,185.4,Orthodox,"Jul 14, 1988",5.52,0.54,3.15,0.54,0.14,0.2,0.53,0.0,http://www.ufcstats.com/fighter-details/6370c1c1e12723d5
Gary Padilla,,12,6,0,180.3,205.0,,,"May 04, 1980",2.2,0.27,2.0,0.76,0.0,0.0,0.5,0.0,http://www.ufcstats.com/fighter-details/01dd4cdc2446f665
Mario Piazzon,,8,0,0,175.3,265.0,185.4,Orthodox,"Apr 06, 1998",1.35,0.73,1.16,0.4,18.87,0.5,0.5,0.0,http://www.ufcstats.com/fighter-details/44f234a36324e6c8
Jose Palacios,,3,2,0,175.3,145.0,,Orthodox,"Nov 10, 1982",2.67,0.7,1.0,0.79,0.0,0.0,0.5,1.7,http://www.ufcstats.com/fighter-details/de20ffb3fc2e7629
Jonathan Pearce,JSP,14,7,0,182.9,145.0,180.3,Switch,"May 01, 1992",5.12,0.54,3.32,0.54,5.02,0.5,0.55,0.8,http://www.ufcstats.com/fighter-details/87c0b1c696ddfb43
Vitor Petrino,,13,2,0,188.0,265.0,195.6,Orthodox,"Aug 28, 1997",2.75,0.46,2.48,0.47,3.04,0.51,0.79,0.8,http://www.ufcstats.com/fighter-details/71171fc96445bf65
Dino Pezao,,1,3,0,,205.0,,Orthodox,,0.66,0.3,3.28,0.31,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/81b57acd6975ac06
Alejandro Perez,Turbo,23,9,1,167.6,135.0,170.2,Orthodox,"Sep 02, 1989",3.45,0.35,3.18,0.61,0.54,0.22,0.7,0.3,http://www.ufcstats.com/fighter-details/80daefbed11ce998
Philip Preece,,10,14,0,172.7,205.0,,Orthodox,,0.8,0.72,0.7,0.63,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/6597b611f1c32555
Jamal Pogues,,11,5,0,190.5,205.0,195.6,Orthodox,"Dec 01, 1995",3.57,0.46,3.97,0.49,2.0,0.46,0.7,0.0,http://www.ufcstats.com/fighter-details/f41b9f5efc7162d6
Soa Palelei,The Hulk,22,5,0,193.0,265.0,205.7,Orthodox,"Jul 12, 1977",2.47,0.57,2.68,0.48,2.2,0.47,0.66,0.0,http://www.ufcstats.com/fighter-details/60029bcf496bd707
Ailin Perez,Fiona,12,2,0,165.1,135.0,167.6,Switch,"Oct 05, 1994",3.1,0.54,1.79,0.55,4.68,0.46,0.66,0.2,http://www.ufcstats.com/fighter-details/06e4245d16fc5315
Josh Parisian,,15,8,0,193.0,265.0,200.7,Orthodox,"Jun 28, 1989",4.55,0.48,4.88,0.41,0.98,0.33,0.46,0.2,http://www.ufcstats.com/fighter-details/b5da8f7d05e85a55
Damacio Page,The Angel of Death,19,10,0,167.6,135.0,167.6,Orthodox,"Sep 30, 1982",2.05,0.38,2.47,0.51,2.63,0.64,0.23,0.9,http://www.ufcstats.com/fighter-details/c96e2ae6021144a1
Jose Perez,,1,0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/89578ae236ee04e9
Rousimar Palhares,Toquinho,19,8,0,172.7,170.0,180.3,Orthodox,"Feb 26, 1980",1.75,0.51,2.04,0.59,3.93,0.45,0.0,4.1,http://www.ufcstats.com/fighter-details/8ddf9c51c5fdea75
Forrest Petz,The Meat Cleaver,26,10,0,175.3,170.0,180.3,Orthodox,"Sep 22, 1975",2.27,0.29,2.2,0.57,1.3,1.0,0.66,0.0,http://www.ufcstats.com/fighter-details/e86bc32f5997a8f7
Erik Perez,Goyito,17,6,0,172.7,135.0,172.7,Orthodox,"Nov 19, 1989",3.16,0.4,2.09,0.66,3.16,0.55,0.69,0.2,http://www.ufcstats.com/fighter-details/af62f99eb7606308
Brando Pericic,The Balkan Bear,5,1,0,195.6,245.0,200.7,Orthodox,"Aug 03, 1994",15.13,0.59,1.57,0.66,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/d0fd0d9ee560dae7
Cody Pfister,The Fist,13,6,1,177.8,155.0,185.4,Orthodox,"Jul 12, 1990",1.41,0.25,2.8,0.51,2.82,0.3,0.0,0.0,http://www.ufcstats.com/fighter-details/5904b0b38dc6718d
Niko Price,The Hybrid,16,10,0,182.9,170.0,193.0,Orthodox,"Sep 29, 1989",5.13,0.43,5.61,0.48,0.98,0.28,0.5,0.6,http://www.ufcstats.com/fighter-details/d8da10db80131bec
Mike Perry,Platinum,14,8,0,177.8,170.0,180.3,Orthodox,"Sep 15, 1991",4.32,0.47,5.16,0.52,0.81,0.4,0.78,0.2,http://www.ufcstats.com/fighter-details/f2b6fdb20675b11c
Pat Pytlik,,9,2,0,182.9,170.0,185.4,Orthodox,"Apr 24, 1989",3.12,0.56,4.56,0.22,0.0,0.0,0.33,0.0,http://www.ufcstats.com/fighter-details/4fd140eea593526e
Ramona Pascual,,6,5,0,170.2,135.0,167.6,Southpaw,"Sep 23, 1988",3.87,0.57,8.43,0.46,1.81,0.19,1.0,0.0,http://www.ufcstats.com/fighter-details/3eb4dc9a7d4ac906
Dylan Potter,Big Poppa,10,6,0,188.0,225.0,195.6,Switch,"Jan 14, 1995",3.1,0.48,5.78,0.46,0.0,0.0,0.33,1.1,http://www.ufcstats.com/fighter-details/61e47575b24a06bf
Steven Peterson,Ocho,19,11,0,177.8,145.0,177.8,Orthodox,"May 29, 1990",4.76,0.4,5.94,0.53,1.42,0.26,0.64,0.7,http://www.ufcstats.com/fighter-details/b93c06d09d1c4ac0
Fabiola Pidroni,The Queen,5,0,0,,115.0,,,"Jan 04, 1994",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/9561eb5f0d63ffcc
Kathryn Paprocki,,3,2,0,160.0,115.0,160.0,Orthodox,"Apr 28, 1993",1.0,0.23,4.27,0.43,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/bd381cde8426077a
Cathal Pendred,The Punisher,17,4,1,185.4,170.0,190.5,Orthodox,"Sep 02, 1987",2.49,0.44,3.01,0.55,2.46,0.23,0.83,0.4,http://www.ufcstats.com/fighter-details/99c7610aa74995d3
Josh Paiva,,8,2,0,167.6,125.0,,,"Apr 05, 1991",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/1e12c1dbbb1e2dda
Larissa Pacheco,,10,2,0,170.2,135.0,,Orthodox,"Sep 07, 1994",1.21,0.19,4.14,0.55,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/16b89be2f5c16fba
Ricky Palacios,El Gallero,10,1,0,167.6,145.0,,Orthodox,"Jul 05, 1987",7.73,0.53,3.27,0.59,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/797ddccda75f169f
Quentin Pasley,,3,0,0,,205.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/15b1f83a90302adf
Julio Paulino,The Dominican Demon,23,5,0,182.9,170.0,,Orthodox,"Dec 04, 1975",0.97,0.27,1.87,0.48,0.0,0.0,0.37,0.5,http://www.ufcstats.com/fighter-details/60c72f7459827881
Onassis Parungao,,2,1,0,180.3,200.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/96d173b7f92aa520
JaeHyun Park,The First Prospect,8,4,0,172.7,155.0,185.4,Orthodox,"Dec 10, 2001",1.75,0.67,1.36,0.45,2.31,0.85,0.22,0.4,http://www.ufcstats.com/fighter-details/fe1595732dfb08fc
Joao Pierini,,4,1,0,185.4,155.0,,Switch,"Dec 11, 1971",0.76,0.14,4.56,0.33,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/9a967e8e43dcef63
Karo Parisyan,The Heat,24,11,0,177.8,170.0,182.9,Orthodox,"Aug 28, 1982",2.49,0.41,2.19,0.58,5.27,0.59,0.59,1.0,http://www.ufcstats.com/fighter-details/349aaa3da11eb587
Nick Pace,,8,3,0,170.2,135.0,172.7,Orthodox,"Apr 17, 1987",1.48,0.34,3.14,0.57,2.52,0.43,0.54,0.5,http://www.ufcstats.com/fighter-details/8cb76103cd8a1562
Claudio Puelles,Prince of Peru,13,5,0,177.8,155.0,182.9,Southpaw,"Apr 21, 1996",1.54,0.46,2.62,0.48,3.29,0.33,0.6,1.0,http://www.ufcstats.com/fighter-details/d747eb273a40a920
Dave Phillips,The Rockstar,13,7,0,182.9,185.0,,Orthodox,"Jan 12, 1980",0.0,0.0,2.0,0.25,0.0,0.0,0.0,10.0,http://www.ufcstats.com/fighter-details/99020eeb8cd5689d
